Date              	Ashokan East Storage	Ashokan East Elevation	Ashokan West Storage	Ashokan West Elevation
01/01/2016	71.99	581.8	39.87	582.48
01/02/2016	71.97	581.79	39.82	582.44
01/03/2016	71.93	581.76	39.76	582.36
01/04/2016	71.93	581.76	39.67	582.27
01/05/2016	72.06	581.85	39.6	582.2
01/06/2016	72.11	581.87	39.59	582.19
01/07/2016	72.07	581.85	39.62	582.22
01/08/2016	72.07	581.85	39.61	582.21
01/09/2016	72.09	581.86	39.67	582.27
01/10/2016	72.37	582.03	40.67	583.35
01/11/2016	72.44	582.08	41.79	584.56
01/12/2016	72.69	582.23	42.13	584.93
01/13/2016	73.15	582.52	41.91	584.69
01/14/2016	73.66	582.84	41.51	584.26
01/15/2016	74.16	583.15	41.08	583.79
01/16/2016	74.56	583.39	40.95	583.65
01/17/2016	74.7	583.48	40.93	583.63
01/18/2016	74.69	583.47	40.92	583.62
01/19/2016	74.68	583.46	40.83	583.53
01/20/2016	74.67	583.46	40.72	583.41
01/21/2016	74.67	583.46	40.6	583.27
01/22/2016	74.68	583.47	40.49	583.16
01/23/2016	74.67	583.46	40.49	583.15
01/24/2016	74.65	583.45	40.46	583.12
01/25/2016	74.65	583.45	40.4	583.06
01/26/2016	74.67	583.46	40.39	583.05
01/27/2016	74.65	583.45	40.3	582.96
01/28/2016	74.65	583.45	40.2	582.84
01/29/2016	74.65	583.45	40.09	582.72
01/30/2016	74.65	583.44	39.97	582.59
01/31/2016	74.65	583.45	39.92	582.54
02/01/2016	74.65	583.45	40.01	582.63
02/02/2016	74.65	583.45	40.25	582.9
02/03/2016	74.82	583.55	40.54	583.21
02/04/2016	74.87	583.58	40.81	583.51
02/05/2016	74.88	583.59	40.84	583.53
02/06/2016	74.88	583.59	40.64	583.32
02/07/2016	74.9	583.6	40.45	583.11
02/08/2016	74.91	583.61	40.24	582.89
02/09/2016	74.92	583.62	40.03	582.66
02/10/2016	74.93	583.62	39.82	582.43
02/11/2016	74.91	583.61	39.63	582.22
02/12/2016	74.91	583.61	39.51	582.1
02/13/2016	74.89	583.6	39.4	581.98
02/14/2016	74.88	583.59	39.21	581.78
02/15/2016	74.91	583.61	39.09	581.64
02/16/2016	75.09	583.72	39.9	582.52
02/17/2016	75.2	583.79	41.14	583.86
02/18/2016	75.22	583.8	41.53	584.28
02/19/2016	75.23	583.81	41.59	584.34
02/20/2016	75.24	583.82	41.58	584.33
02/21/2016	75.26	583.83	41.52	584.27
02/22/2016	75.28	583.84	41.43	584.17
02/23/2016	75.3	583.85	41.41	584.15
02/24/2016	75.75	584.13	42.02	584.79
02/25/2016	77.76	585.36	44.55	587.37
02/26/2016	79.26	586.25	44.88	587.69
02/27/2016	79.37	586.32	45.16	587.97
02/28/2016	79.4	586.34	45.12	587.93
02/29/2016	79.29	586.27	45.06	587.87
03/01/2016	79	586.1	45.04	587.85
03/02/2016	78.71	585.93	44.92	587.73
03/03/2016	78.41	585.75	44.75	587.56
03/04/2016	78.1	585.56	44.55	587.36
03/05/2016	77.8	585.38	44.31	587.12
03/06/2016	77.49	585.2	44.06	586.87
03/07/2016	77.19	585.02	43.78	586.59
03/08/2016	76.93	584.86	43.51	586.31
03/09/2016	76.71	584.72	43.2	586.01
03/10/2016	76.28	584.46	42.98	585.78
03/11/2016	75.8	584.16	43	585.81
03/12/2016	75.3	583.85	43.02	585.82
03/13/2016	74.82	583.55	43.02	585.82
03/14/2016	74.31	583.23	43.04	585.84
03/15/2016	73.9	582.99	43.2	586
03/16/2016	73.63	582.82	43.56	586.36
03/17/2016	73.35	582.64	43.94	586.74
03/18/2016	73.05	582.46	44.29	587.1
03/19/2016	72.75	582.27	44.64	587.45
03/20/2016	72.43	582.07	44.97	587.78
03/21/2016	72.06	581.84	45.31	588.12
03/22/2016	71.64	581.58	45.72	588.53
03/23/2016	71.24	581.34	46.28	589.1
03/24/2016	70.94	581.15	46.63	589.45
03/25/2016	70.86	581.1	46.71	589.52
03/26/2016	70.82	581.07	46.69	589.51
03/27/2016	70.77	581.05	46.67	589.49
03/28/2016	70.78	581.05	46.73	589.55
03/29/2016	70.76	581.04	46.78	589.6
03/30/2016	70.75	581.03	46.8	589.62
03/31/2016	70.85	581.09	46.83	589.65
